id,title,original_title,budget,revenue,runtime,genres,release_date,year,release_month,vote_average,vote_count,popularity,budget_ksh,revenue_ksh,primary_genre,month,release_season
19995,Avatar,Avatar,237000000,2787965087,162,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-12-10,2009,Dec,7.2,11800,150.437577,30810000000,362435461310,NA,12,Christmas
285,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,300000000,961000000,169,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2007-05-19,2007,May,6.9,4500,139.082615,39000000000,124930000000,NA,5,Other
206647,Spectre,Spectre,245000000,880674609,148,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",2015-10-26,2015,Oct,6.3,4466,107.376788,31850000000,114487699170,NA,10,Other
49026,The Dark Knight Rises,The Dark Knight Rises,250000000,1084939099,165,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2012-07-16,2012,Jul,7.6,9106,112.31295,32500000000,141042082870,NA,7,MidYear/Holidays
49529,John Carter,John Carter,260000000,284139100,132,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-03-07,2012,Mar,6.1,2124,43.926995,33800000000,36938083000,NA,3,Easter/Spring
559,Spider-Man 3,Spider-Man 3,258000000,890871626,139,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2007-05-01,2007,May,5.9,3576,115.699814,33540000000,115813311380,NA,5,Other
38757,Tangled,Tangled,260000000,591794936,100,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2010-11-24,2010,Nov,7.4,3330,48.681969,33800000000,76933341680,NA,11,Other
99861,Avengers: Age of Ultron,Avengers: Age of Ultron,280000000,1405403694,141,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2015-04-22,2015,Apr,7.3,6767,134.279229,36400000000,182702480220,NA,4,Easter/Spring
767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,250000000,933959197,153,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",2009-07-07,2009,Jul,7.4,5293,98.885637,32500000000,121414695610,NA,7,MidYear/Holidays
209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,250000000,873260194,151,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2016-03-23,2016,Mar,5.7,7004,155.790452,32500000000,113523825220,NA,3,Easter/Spring
1452,Superman Returns,Superman Returns,270000000,391081192,154,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2006-06-28,2006,Jun,5.4,1400,57.925623,35100000000,50840554960,NA,6,MidYear/Holidays
10764,Quantum of Solace,Quantum of Solace,200000000,586090727,106,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2008-10-30,2008,Oct,6.1,2965,107.928811,26000000000,76191794510,NA,10,Other
58,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2006-06-20,2006,Jun,7,5246,145.847379,26000000000,138535775560,NA,6,MidYear/Holidays
57201,The Lone Ranger,The Lone Ranger,255000000,89289910,149,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",2013-07-03,2013,Jul,5.9,2311,49.046956,33150000000,11607688300,NA,7,MidYear/Holidays
49521,Man of Steel,Man of Steel,225000000,662845518,143,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-06-12,2013,Jun,6.5,6359,99.398009,29250000000,86169917340,NA,6,MidYear/Holidays
2454,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,225000000,419651413,150,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2008-05-15,2008,May,6.3,1630,53.978602,29250000000,54554683690,NA,5,Other
24428,The Avengers,The Avengers,220000000,1519557910,143,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2012-04-25,2012,Apr,7.4,11776,144.448633,28600000000,197542528300,NA,4,Easter/Spring
1865,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,136,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",2011-05-14,2011,May,6.4,4948,135.413856,49400000000,135942794260,NA,5,Other
41154,Men in Black 3,Men in Black 3,225000000,624026776,106,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-05-23,2012,May,6.2,4160,52.035179,29250000000,81123480880,NA,5,Other
122917,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,250000000,956019788,144,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2014-12-10,2014,Dec,7.1,4760,120.965743,32500000000,124282572440,NA,12,Christmas
1930,The Amazing Spider-Man,The Amazing Spider-Man,215000000,752215857,136,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2012-06-27,2012,Jun,6.5,6586,89.866276,27950000000,97788061410,NA,6,MidYear/Holidays
20662,Robin Hood,Robin Hood,200000000,310669540,140,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2010-05-12,2010,May,6.2,1398,37.668301,26000000000,40387040200,NA,5,Other
57158,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,250000000,958400000,161,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2013-12-11,2013,Dec,7.6,4524,94.370564,32500000000,124592000000,NA,12,Christmas
2268,The Golden Compass,The Golden Compass,180000000,372234864,113,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2007-12-04,2007,Dec,5.8,1303,42.990906,23400000000,48390532320,NA,12,Christmas
254,King Kong,King Kong,207000000,550000000,187,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2005-12-14,2005,Dec,6.6,2337,61.22601,26910000000,71500000000,NA,12,Christmas
597,Titanic,Titanic,200000000,1845034188,194,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",1997-11-18,1997,Nov,7.5,7562,100.025899,26000000000,239854444440,NA,11,Other
271110,Captain America: Civil War,Captain America: Civil War,250000000,1153304495,147,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2016-04-27,2016,Apr,7.1,7241,198.372395,32500000000,149929584350,NA,4,Easter/Spring
44833,Battleship,Battleship,209000000,303025485,131,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-04-11,2012,Apr,5.5,2114,64.928382,27170000000,39393313050,NA,4,Easter/Spring
135397,Jurassic World,Jurassic World,150000000,1513528810,124,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2015-06-09,2015,Jun,6.5,8662,418.708552,19500000000,196758745300,NA,6,MidYear/Holidays
37724,Skyfall,Skyfall,200000000,1108561013,143,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2012-10-25,2012,Oct,6.9,7604,93.004993,26000000000,144112931690,NA,10,Other
558,Spider-Man 2,Spider-Man 2,200000000,783766341,127,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2004-06-25,2004,Jun,6.7,4321,35.149586,26000000000,101889624330,NA,6,MidYear/Holidays
68721,Iron Man 3,Iron Man 3,200000000,1215439994,130,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2013-04-18,2013,Apr,6.8,8806,77.68208,26000000000,158007199220,NA,4,Easter/Spring
12155,Alice in Wonderland,Alice in Wonderland,200000000,1025491110,108,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",2010-03-03,2010,Mar,6.4,4645,78.530105,26000000000,133313844300,NA,3,Easter/Spring
36668,X-Men: The Last Stand,X-Men: The Last Stand,210000000,459359555,104,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2006-05-24,2006,May,6.3,3525,3.857526,27300000000,59716742150,NA,5,Other
62211,Monsters University,Monsters University,200000000,743559607,104,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2013-06-20,2013,Jun,7,3528,89.186492,26000000000,96662748910,NA,6,MidYear/Holidays
8373,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,150000000,836297228,150,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2009-06-19,2009,Jun,6,3138,21.939663,19500000000,108718639640,NA,6,MidYear/Holidays
91314,Transformers: Age of Extinction,Transformers: Age of Extinction,210000000,1091405097,165,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2014-06-25,2014,Jun,5.8,3095,116.840296,27300000000,141882662610,NA,6,MidYear/Holidays
68728,Oz: The Great and Powerful,Oz: The Great and Powerful,200000000,491868548,130,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",2013-03-07,2013,Mar,5.7,3530,46.985445,26000000000,63942911240,NA,3,Easter/Spring
